City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
216,216,Ryotsu,JP,2022-07-25 17:58:32,38.0833,138.4333,76.55,10,83,1.14
217,217,Borkenes,NO,2022-07-25 17:58:33,68.774,16.1739,56.98,96,99,7.0
218,218,Leningradskiy,RU,2022-07-25 17:58:33,69.3833,178.4167,32.38,100,95,5.7
219,219,Shepetivka,UA,2022-07-25 17:58:34,50.1855,27.0637,64.04,26,63,4.76
220,220,Iskateley,RU,2022-07-25 17:58:34,67.6803,53.1512,46.96,100,90,19.04
221,221,Buta,CD,2022-07-25 17:58:34,2.7858,24.73,74.86,95,83,2.01
222,222,Concepcion Del Uruguay,AR,2022-07-25 17:58:35,-32.4825,-58.2372,72.99,68,85,5.01
223,223,Walvis Bay,,2022-07-25 17:58:35,-22.9575,14.5053,55.09,11,87,4.61
224,224,Alyangula,AU,2022-07-25 17:58:36,-13.8483,136.4192,60.67,100,94,0.0
225,225,Tecoanapa,MX,2022-07-25 17:58:36,16.5167,-98.75,85.87,98,59,5.23
226,226,Esna,EG,2022-07-25 17:58:36,25.2934,32.554,98.62,0,12,9.93
227,227,Chuy,UY,2022-07-25 17:58:37,-33.6971,-53.4616,61.99,100,90,8.52
228,228,Palmas,BR,2022-07-25 17:58:37,-10.2128,-48.3603,91.27,20,35,5.75
229,229,Sigli,ID,2022-07-25 17:58:38,5.3848,95.9609,77.61,97,84,4.68
230,230,Half Moon Bay,US,2022-07-25 17:58:38,37.4636,-122.4286,72.88,75,76,10.36
231,231,Hofn,IS,2022-07-25 17:58:38,64.2539,-15.2082,51.82,100,82,8.05
232,232,Kumi,KR,2022-07-25 17:58:39,36.1136,128.336,74.88,25,94,1.25
233,233,Cosio,MX,2022-07-25 17:58:39,22.35,-102.3,74.16,98,41,5.08
234,234,Bima,ID,2022-07-25 17:58:40,-8.4667,118.7167,71.35,75,90,4.52
235,235,Salalah,OM,2022-07-25 17:58:40,17.0151,54.0924,76.51,100,96,8.1
236,236,Havoysund,NO,2022-07-25 17:58:40,70.9963,24.6622,52.03,100,94,9.35
237,237,Waingapu,ID,2022-07-25 17:58:41,-9.6567,120.2641,71.02,65,78,7.34
238,238,Broome,US,2022-07-25 17:58:41,42.2506,-75.833,84.47,83,68,7.0
239,239,Saint-Augustin,CA,2022-07-25 17:58:42,51.226,-58.6502,58.6,100,98,14.79
240,240,Emba,KZ,2022-07-25 17:58:42,48.8264,58.1442,81.84,97,31,7.47
241,241,Deputatskiy,RU,2022-07-25 17:58:43,69.3,139.9,54.19,89,63,3.04
242,242,Ono,JP,2022-07-25 17:58:43,34.85,134.9333,80.13,100,88,2.98
243,243,Yulara,AU,2022-07-25 17:58:44,-25.2406,130.9889,47.44,0,59,10.63
244,244,Nikolskoye,RU,2022-07-25 17:58:44,59.7035,30.7861,69.69,65,91,3.78
245,245,Kavieng,PG,2022-07-25 17:58:44,-2.5744,150.7967,81.45,42,80,17.58
246,246,Tarancon,ES,2022-07-25 17:58:45,40.0085,-3.0073,96.22,0,8,15.59
247,247,Mayor Pablo Lagerenza,PY,2022-07-25 17:58:45,-19.9309,-60.7718,99.3,1,17,10.89
248,248,Athabasca,CA,2022-07-25 17:58:46,54.7169,-113.2854,61.21,99,73,6.35
249,249,Casablanca,MA,2022-07-25 17:57:06,33.5928,-7.6192,98.82,32,45,9.22
250,250,Torbat-E Jam,IR,2022-07-25 17:58:46,35.244,60.6225,87.39,0,21,14.52
251,251,Kamina,CD,2022-07-25 17:58:47,-8.7386,24.9906,70.65,32,32,4.81
252,252,Cabo San Lucas,MX,2022-07-25 17:58:47,22.8909,-109.9124,90.61,78,63,5.01
253,253,Bandiagara,ML,2022-07-25 17:58:47,14.3501,-3.6104,92.89,27,35,6.67
254,254,Almenara,BR,2022-07-25 17:55:35,-16.1836,-40.6944,84.56,48,29,7.45
255,255,East London,ZA,2022-07-25 17:57:27,-33.0153,27.9116,52.74,0,82,5.75
256,256,Korla,CN,2022-07-25 17:58:48,41.7597,86.1469,81.9,91,28,18.03
257,257,Mayo,US,2022-07-25 17:58:49,38.8876,-76.5119,92.66,99,71,3.0
258,258,Gravdal,NO,2022-07-25 17:58:49,68.1214,13.5031,57.49,94,82,9.75
259,259,Kalmunai,LK,2022-07-25 17:58:50,7.4167,81.8167,80.53,97,80,5.08
260,260,Kloulklubed,PW,2022-07-25 17:58:50,7.0419,134.2556,77.5,91,74,7.74
261,261,Bandarban,BD,2022-07-25 17:58:51,22.1965,92.2262,80.31,100,97,1.79
262,262,Tukrah,LY,2022-07-25 17:58:51,32.5341,20.5791,80.85,0,79,8.93
263,263,Lufilufi,WS,2022-07-25 17:58:51,-13.8745,-171.5986,74.98,78,80,22.32
264,264,Santa Cruz,BO,2022-07-25 17:57:25,-17.8,-63.1667,87.26,75,58,16.11
265,265,Ancud,CL,2022-07-25 17:58:52,-41.8697,-73.8203,48.22,100,87,11.97
266,266,Saldanha,ZA,2022-07-25 17:58:52,-33.0117,17.9442,55.45,0,66,10.56
267,267,Khromtau,KZ,2022-07-25 17:58:53,50.2503,58.4347,71.67,85,45,5.55
268,268,Okha,RU,2022-07-25 17:58:53,53.5739,142.9478,57.13,100,98,11.74
269,269,San Vicente,AR,2022-07-25 17:58:54,-26.6167,-54.1333,80.44,0,38,3.65
270,270,Svetlaya,RU,2022-07-25 17:58:54,46.5389,138.3297,64.17,59,94,3.42
271,271,Thinadhoo,MV,2022-07-25 17:58:55,0.5333,72.9333,82.87,86,73,8.39
272,272,Porto Novo,BJ,2022-07-25 17:58:55,6.4965,2.6036,80.42,99,79,9.73
273,273,Mezhdurechensk,RU,2022-07-25 17:58:55,53.6942,88.0603,53.29,100,96,2.28
274,274,Doha,QA,2022-07-25 17:55:03,25.2867,51.5333,98.91,76,73,6.91
275,275,Nioro,GM,2022-07-25 17:58:56,13.35,-15.75,87.64,100,59,4.21
276,276,Ouango,CF,2022-07-25 17:58:57,4.3133,22.5552,73.18,99,92,2.89
277,277,Kragujevac,RS,2022-07-25 17:58:57,44.0167,20.9167,89.89,0,26,1.07
278,278,Kiruna,SE,2022-07-25 17:58:57,67.8557,20.2251,52.72,100,100,5.75
279,279,Hurghada,EG,2022-07-25 17:58:58,27.2574,33.8129,91.44,0,29,4.61
280,280,Dakar,SN,2022-07-25 17:58:58,14.6937,-17.4441,86.88,20,74,13.8
